region_id,region_name,province_bps,country,year,yield_ku_ha,yield_ton_ha,harvested_ha,production_ton,data_source,method_note
IDN-11,Aceh,ACEH,IDN,2020,55.22,5.522,11581.2,63950.8,BPS,KSA
IDN-11,Aceh,ACEH,IDN,2021,56.21,5.621,10289.99,57835.8,BPS,KSA
IDN-11,Aceh,ACEH,IDN,2022,58.01,5.801,12453.57,72241.64,BPS,KSA
IDN-11,Aceh,ACEH,IDN,2023,56.58,5.658,11728.37,66363.62,BPS,KSA
IDN-11,Aceh,ACEH,IDN,2024,51.78,5.178,10090.26,52249.4,BPS,KSA
IDN-12,North Sumatra,SUMATERA UTARA,IDN,2020,57.87,5.787,135334.39,783126.62,BPS,KSA
IDN-12,North Sumatra,SUMATERA UTARA,IDN,2021,62.29,6.229,153631.83,956938.92,BPS,KSA
IDN-12,North Sumatra,SUMATERA UTARA,IDN,2022,62.93,6.293,207756.79,1307477.02,BPS,KSA
IDN-12,North Sumatra,SUMATERA UTARA,IDN,2023,63.63,6.363,211105.36,1343290.59,BPS,KSA
IDN-12,North Sumatra,SUMATERA UTARA,IDN,2024,65.24,6.524,210586.1,1373900.0,BPS,KSA
IDN-13,West Sumatra,SUMATERA BARAT,IDN,2020,64.64,6.464,65756.37,425025.38,BPS,KSA
IDN-13,West Sumatra,SUMATERA BARAT,IDN,2021,65.19,6.519,67159.49,437814.33,BPS,KSA
IDN-13,West Sumatra,SUMATERA BARAT,IDN,2022,67.34,6.734,84565.06,569450.41,BPS,KSA
IDN-13,West Sumatra,SUMATERA BARAT,IDN,2023,62.19,6.219,79630.77,495223.45,BPS,KSA
IDN-13,West Sumatra,SUMATERA BARAT,IDN,2024,61.76,6.176,83918.48,518315.8,BPS,KSA
IDN-14,Riau,RIAU,IDN,2020,34.03,3.403,138.92,472.78,BPS,KSA
IDN-14,Riau,RIAU,IDN,2021,32.32,3.232,306.22,989.61,BPS,KSA
IDN-14,Riau,RIAU,IDN,2022,34.64,3.464,217.27,752.62,BPS,KSA
IDN-14,Riau,RIAU,IDN,2023,31.83,3.183,216.35,688.71,BPS,KSA
IDN-14,Riau,RIAU,IDN,2024,34.83,3.483,327.17,1139.41,BPS,KSA
IDN-15,Jambi,JAMBI,IDN,2020,68.45,6.845,1111.0,7604.47,BPS,KSA
IDN-15,Jambi,JAMBI,IDN,2021,58.34,5.834,1665.97,9719.01,BPS,KSA
IDN-15,Jambi,JAMBI,IDN,2022,55.37,5.537,1892.18,10477.45,BPS,KSA
IDN-15,Jambi,JAMBI,IDN,2023,60.46,6.046,781.46,4724.77,BPS,KSA
IDN-15,Jambi,JAMBI,IDN,2024,69.56,6.956,1514.03,10530.87,BPS,KSA
IDN-16,South Sumatra,SUMATERA SELATAN,IDN,2020,60.37,6.037,35073.88,211735.52,BPS,KSA
IDN-16,South Sumatra,SUMATERA SELATAN,IDN,2021,61.23,6.123,51690.6,316505.64,BPS,KSA
IDN-16,South Sumatra,SUMATERA SELATAN,IDN,2022,76.48,7.648,60187.49,460321.16,BPS,KSA
IDN-16,South Sumatra,SUMATERA SELATAN,IDN,2023,61.55,6.155,46247.92,284643.31,BPS,KSA
IDN-16,South Sumatra,SUMATERA SELATAN,IDN,2024,63.76,6.376,53171.15,338998.6,BPS,KSA
IDN-17,Bengkulu,BENGKULU,IDN,2020,56.48,5.648,4145.68,23415.58,BPS,KSA
IDN-17,Bengkulu,BENGKULU,IDN,2021,61.73,6.173,5983.25,36934.89,BPS,KSA
IDN-17,Bengkulu,BENGKULU,IDN,2022,68.89,6.889,10416.56,71755.99,BPS,KSA
IDN-17,Bengkulu,BENGKULU,IDN,2023,63.82,6.382,7900.85,50421.07,BPS,KSA
IDN-17,Bengkulu,BENGKULU,IDN,2024,63.76,6.376,9861.27,62876.83,BPS,KSA
IDN-18,Lampung,LAMPUNG,IDN,2020,62.04,6.204,156654.98,971957.39,BPS,KSA
IDN-18,Lampung,LAMPUNG,IDN,2021,65.6,6.56,172107.96,1129111.67,BPS,KSA
IDN-18,Lampung,LAMPUNG,IDN,2022,64.46,6.446,223859.75,1443095.58,BPS,KSA
IDN-18,Lampung,LAMPUNG,IDN,2023,66.4,6.64,166215.32,1103640.11,BPS,KSA
IDN-18,Lampung,LAMPUNG,IDN,2024,65.15,6.515,170016.6,1107739.0,BPS,KSA
IDN-19,Bangka Belitung Islands,KEP. BANGKA BELITUNG,IDN,2020,44.09,4.409,28.73,126.66,BPS,KSA
IDN-19,Bangka Belitung Islands,KEP. BANGKA BELITUNG,IDN,2021,35.85,3.585,97.31,348.85,BPS,KSA
IDN-19,Bangka Belitung Islands,KEP. BANGKA BELITUNG,IDN,2022,41.08,4.108,62.8,257.95,BPS,KSA
IDN-19,Bangka Belitung Islands,KEP. BANGKA BELITUNG,IDN,2023,47.87,4.787,23.25,111.3,BPS,KSA
IDN-19,Bangka Belitung Islands,KEP. BANGKA BELITUNG,IDN,2024,57.16,5.716,0.0,0.0,BPS,KSA
IDN-21,Riau Islands,KEP. RIAU,IDN,2020,55.4,5.54,2.75,15.22,BPS,KSA
IDN-21,Riau Islands,KEP. RIAU,IDN,2021,48.95,4.895,2.62,12.84,BPS,KSA
IDN-21,Riau Islands,KEP. RIAU,IDN,2022,51.31,5.131,2.45,12.59,BPS,KSA
IDN-21,Riau Islands,KEP. RIAU,IDN,2023,50.48,5.048,2.07,10.45,BPS,KSA
IDN-21,Riau Islands,KEP. RIAU,IDN,2024,48.19,4.819,2.49,12.0,BPS,KSA
IDN-31,DKI Jakarta,DKI JAKARTA,IDN,2020,,,,,BPS,KSA
IDN-31,DKI Jakarta,DKI JAKARTA,IDN,2021,,,,,BPS,KSA
IDN-31,DKI Jakarta,DKI JAKARTA,IDN,2022,0.0,0.0,0.0,0.0,BPS,KSA
IDN-31,DKI Jakarta,DKI JAKARTA,IDN,2023,0.0,0.0,0.0,0.0,BPS,KSA
IDN-31,DKI Jakarta,DKI JAKARTA,IDN,2024,,,,,BPS,KSA
IDN-32,West Java,JAWA BARAT,IDN,2020,70.4,7.04,59430.55,418401.74,BPS,KSA
IDN-32,West Java,JAWA BARAT,IDN,2021,72.06,7.206,68213.91,491527.65,BPS,KSA
IDN-32,West Java,JAWA BARAT,IDN,2022,75.98,7.598,95689.92,727067.64,BPS,KSA
IDN-32,West Java,JAWA BARAT,IDN,2023,75.06,7.506,76901.39,577185.49,BPS,KSA
IDN-32,West Java,JAWA BARAT,IDN,2024,72.35,7.235,77992.51,564290.8,BPS,KSA
IDN-33,Central Java,JAWA TENGAH,IDN,2020,60.44,6.044,377065.18,2279146.32,BPS,KSA
