region_name,year,country,planted_ha,harvested_ha,production_ton,yield_ton_ha,data_source
Aceh,2020,IDN,11581.2,11581.2,63950.8,5.5219,BPS
Bali,2020,IDN,7927.98,7927.98,34994.61,4.4141,BPS
Banten,2020,IDN,2945.5,2945.5,20349.88,6.9088,BPS
Bengkulu,2020,IDN,4145.68,4145.68,23415.58,5.6482,BPS
DI Yogyakarta,2020,IDN,31380.87,31380.87,169430.71,5.3992,BPS
Gorontalo,2020,IDN,125415.3,125415.3,580370.29,4.6276,BPS
Jambi,2020,IDN,1111.0,1111.0,7604.47,6.8447,BPS
Jawa Barat,2020,IDN,59430.55,59430.55,418401.74,7.0402,BPS
Jawa Tengah,2020,IDN,377065.18,377065.18,2279146.32,6.0444,BPS
Jawa Timur,2020,IDN,722182.15,722182.15,4134908.41,5.7256,BPS
Kalimantan Barat,2020,IDN,4721.73,4721.73,20284.05,4.2959,BPS
Kalimantan Selatan,2020,IDN,28796.76,28796.76,152796.9,5.306,BPS
Kalimantan Tengah,2020,IDN,5816.31,5816.31,30998.17,5.3295,BPS
Kalimantan Timur,2020,IDN,1989.07,1989.07,10584.65,5.3214,BPS
Kalimantan Utara,2020,IDN,292.82,292.82,1169.07,3.9925,BPS
Kep. Bangka Belitung,2020,IDN,28.73,28.73,126.66,4.4086,BPS
Kep. Riau,2020,IDN,2.75,2.75,15.22,5.5345,BPS
Lampung,2020,IDN,156654.98,156654.98,971957.39,6.2044,BPS
Maluku,2020,IDN,4324.52,4324.52,14934.68,3.4535,BPS
Maluku Utara,2020,IDN,928.0,928.0,3816.09,4.1122,BPS
Nusa Tenggara Barat,2020,IDN,145562.61,145562.61,860494.72,5.9115,BPS
Nusa Tenggara Timur,2020,IDN,107094.89,107094.89,255452.99,2.3853,BPS
Papua,2020,IDN,2617.97,2617.97,11120.24,4.2477,BPS
Papua Barat,2020,IDN,1340.64,1340.64,5098.77,3.8032,BPS
Riau,2020,IDN,138.92,138.92,472.78,3.4033,BPS
Sulawesi Barat,2020,IDN,2297.16,2297.16,11239.6,4.8928,BPS
Sulawesi Selatan,2020,IDN,213791.89,213791.89,1086933.12,5.0841,BPS
Sulawesi Tengah,2020,IDN,14648.4,14648.4,65595.66,4.478,BPS
Sulawesi Tenggara,2020,IDN,25124.41,25124.41,98972.12,3.9393,BPS
Sulawesi Utara,2020,IDN,42343.67,42343.67,174417.59,4.1191,BPS
Sumatera Barat,2020,IDN,65756.37,65756.37,425025.38,6.4636,BPS
Sumatera Selatan,2020,IDN,35073.88,35073.88,211735.52,6.0368,BPS
Sumatera Utara,2020,IDN,135334.39,135334.39,783126.62,5.7866,BPS
Aceh,2021,IDN,10289.99,10289.99,57835.8,5.6206,BPS
Bali,2021,IDN,10245.83,10245.83,50117.54,4.8915,BPS
Banten,2021,IDN,1375.5,1375.5,9393.64,6.8293,BPS
Bengkulu,2021,IDN,5983.25,5983.25,36934.89,6.173,BPS
DI Yogyakarta,2021,IDN,38391.14,38391.14,197154.61,5.1354,BPS
Gorontalo,2021,IDN,138958.14,138958.14,669890.37,4.8208,BPS
Jambi,2021,IDN,1665.97,1665.97,9719.01,5.8338,BPS
Jawa Barat,2021,IDN,68213.91,68213.91,491527.65,7.2057,BPS
Jawa Tengah,2021,IDN,340315.45,340315.45,2128959.17,6.2558,BPS
Jawa Timur,2021,IDN,687502.66,687502.66,3991492.48,5.8058,BPS
Kalimantan Barat,2021,IDN,8916.04,8916.04,44252.44,4.9632,BPS
Kalimantan Selatan,2021,IDN,23340.2,23340.2,135325.9,5.798,BPS
Kalimantan Tengah,2021,IDN,6591.87,6591.87,35440.16,5.3763,BPS
Kalimantan Timur,2021,IDN,2526.48,2526.48,14554.97,5.761,BPS
Kalimantan Utara,2021,IDN,75.36,75.36,385.1,5.1101,BPS
Kep. Bangka Belitung,2021,IDN,97.31,97.31,348.85,3.5849,BPS
Kep. Riau,2021,IDN,2.62,2.62,12.84,4.9008,BPS
Lampung,2021,IDN,172107.96,172107.96,1129111.67,6.5605,BPS
Maluku,2021,IDN,3813.08,3813.08,14691.93,3.853,BPS
Maluku Utara,2021,IDN,2042.47,2042.47,10328.93,5.0571,BPS
Nusa Tenggara Barat,2021,IDN,156985.86,156985.86,1019224.88,6.4925,BPS
Nusa Tenggara Timur,2021,IDN,111362.16,111362.16,285344.59,2.5623,BPS
Papua,2021,IDN,3067.83,3067.83,16119.68,5.2544,BPS
Papua Barat,2021,IDN,1099.9,1099.9,4753.17,4.3215,BPS
Riau,2021,IDN,306.22,306.22,989.61,3.2317,BPS
Sulawesi Barat,2021,IDN,1575.16,1575.16,7966.76,5.0577,BPS
Sulawesi Selatan,2021,IDN,185724.95,185724.95,1033341.18,5.5638,BPS
Sulawesi Tengah,2021,IDN,14152.43,14152.43,63514.84,4.4879,BPS
Sulawesi Tenggara,2021,IDN,19792.32,19792.32,78350.27,3.9586,BPS
Sulawesi Utara,2021,IDN,39055.74,39055.74,166579.9,4.2652,BPS
Sumatera Barat,2021,IDN,67159.49,67159.49,437814.33,6.519,BPS
Sumatera Selatan,2021,IDN,51690.6,51690.6,316505.64,6.1231,BPS
