country_key,iso3,region_name,year,yield_ton_ha,production_ton,country,region_id,data_source,level
indonesia,IDN,Indonesia,2003,3.2414,10886442.0,IDN,IDN,OWID_FAOSTAT,national
indonesia,IDN,Indonesia,2004,3.3439,11225243.0,IDN,IDN,OWID_FAOSTAT,national
indonesia,IDN,Indonesia,2005,3.4539,12523894.0,IDN,IDN,OWID_FAOSTAT,national
indonesia,IDN,Indonesia,2006,3.4699001,11609463.0,IDN,IDN,OWID_FAOSTAT,national
indonesia,IDN,Indonesia,2007,3.6601002,13287527.0,IDN,IDN,OWID_FAOSTAT,national
indonesia,IDN,Indonesia,2008,4.0776005,16323922.0,IDN,IDN,OWID_FAOSTAT,national
indonesia,IDN,Indonesia,2009,4.2372003,17629740.0,IDN,IDN,OWID_FAOSTAT,national
indonesia,IDN,Indonesia,2010,4.4359,18327636.0,IDN,IDN,OWID_FAOSTAT,national
indonesia,IDN,Indonesia,2011,4.5652003,17643250.0,IDN,IDN,OWID_FAOSTAT,national
indonesia,IDN,Indonesia,2012,4.8987,19387022.0,IDN,IDN,OWID_FAOSTAT,national
indonesia,IDN,Indonesia,2013,4.8441005,18511852.0,IDN,IDN,OWID_FAOSTAT,national
indonesia,IDN,Indonesia,2014,4.9540005,19008426.0,IDN,IDN,OWID_FAOSTAT,national
indonesia,IDN,Indonesia,2015,5.1784,19612436.0,IDN,IDN,OWID_FAOSTAT,national
indonesia,IDN,Indonesia,2016,5.3052006,23578412.0,IDN,IDN,OWID_FAOSTAT,national
indonesia,IDN,Indonesia,2017,5.2977004,25164000.0,IDN,IDN,OWID_FAOSTAT,national
indonesia,IDN,Indonesia,2018,5.307,18840000.0,IDN,IDN,OWID_FAOSTAT,national
indonesia,IDN,Indonesia,2019,6.1439004,19650000.0,IDN,IDN,OWID_FAOSTAT,national
indonesia,IDN,Indonesia,2020,5.5302005,12928941.0,IDN,IDN,OWID_FAOSTAT,national
indonesia,IDN,Indonesia,2021,5.7623,13414922.0,IDN,IDN,OWID_FAOSTAT,national
indonesia,IDN,Indonesia,2022,5.9787006,16527273.0,IDN,IDN,OWID_FAOSTAT,national
indonesia,IDN,Indonesia,2023,5.9668,14774433.0,IDN,IDN,OWID_FAOSTAT,national
thailand,THA,Thailand,2003,3.8513002,4248989.0,THA,THA,OWID_FAOSTAT,national
thailand,THA,Thailand,2004,3.8587,4341474.0,THA,THA,OWID_FAOSTAT,national
thailand,THA,Thailand,2005,3.8161004,4093634.0,THA,THA,OWID_FAOSTAT,national
thailand,THA,Thailand,2006,3.9356003,3918332.0,THA,THA,OWID_FAOSTAT,national
thailand,THA,Thailand,2007,3.9295,3890218.0,THA,THA,OWID_FAOSTAT,national
thailand,THA,Thailand,2008,4.0748,4249354.0,THA,THA,OWID_FAOSTAT,national
thailand,THA,Thailand,2009,4.178,4616119.0,THA,THA,OWID_FAOSTAT,national
thailand,THA,Thailand,2010,4.1799,4860746.0,THA,THA,OWID_FAOSTAT,national
thailand,THA,Thailand,2011,4.3297005,4972952.0,THA,THA,OWID_FAOSTAT,national
thailand,THA,Thailand,2012,4.3225,4947530.0,THA,THA,OWID_FAOSTAT,national
thailand,THA,Thailand,2013,4.2242002,4876180.0,THA,THA,OWID_FAOSTAT,national
thailand,THA,Thailand,2014,4.2454,4804670.0,THA,THA,OWID_FAOSTAT,national
thailand,THA,Thailand,2015,4.1789002,4729527.0,THA,THA,OWID_FAOSTAT,national
thailand,THA,Thailand,2016,4.379,4390185.0,THA,THA,OWID_FAOSTAT,national
thailand,THA,Thailand,2017,4.5981,4820962.0,THA,THA,OWID_FAOSTAT,national
thailand,THA,Thailand,2018,4.5952005,5069143.0,THA,THA,OWID_FAOSTAT,national
thailand,THA,Thailand,2019,4.3458,4535058.0,THA,THA,OWID_FAOSTAT,national
thailand,THA,Thailand,2020,4.4536004,4990207.0,THA,THA,OWID_FAOSTAT,national
thailand,THA,Thailand,2021,4.5488,4847845.0,THA,THA,OWID_FAOSTAT,national
thailand,THA,Thailand,2022,4.6738,4700555.0,THA,THA,OWID_FAOSTAT,national
thailand,THA,Thailand,2023,4.6528,4614006.0,THA,THA,OWID_FAOSTAT,national
usa,USA,United States,2003,8.924833,256229020.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2004,10.060836,299875600.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2005,9.282579,282262560.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2006,9.357895,267502850.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2007,9.458315,331177280.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2008,9.621497,305911460.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2009,10.318161,331921060.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2010,9.577564,315617920.0,USA,USA,OWID_FAOSTAT,national
