region_id,region_name,region_name_en,country,year,planted_ha,harvested_ha,production_ton,yield_ton_ha,data_source,crop_year_thai
,กาญจนบุรี,Kanchanaburi,THA,2021,13786.72,13708.48,61860.0,4.5125,OAE,2564/65
,กาฬสินธุ์,Kalasin,THA,2021,21.12,21.12,84.0,3.9773,OAE,2564/65
,กำแพงเพชร,Kamphaeng Phet,THA,2021,21340.64,20961.76,102534.0,4.8915,OAE,2564/65
,ขอนแก่น,Khon Kaen,THA,2021,1139.04,1098.24,4316.0,3.9299,OAE,2564/65
,จันทบุรี,Chanthaburi,THA,2021,1495.2,1484.8,6508.0,4.3831,OAE,2564/65
,ฉะเชิงเทรา,Chachoengsao,THA,2021,474.4,408.96,1694.0,4.1422,OAE,2564/65
,ชัยนาท,Chai Nat,THA,2021,3477.6,3442.08,14944.0,4.3416,OAE,2564/65
,ชัยภูมิ,Chaiyaphum,THA,2021,12050.24,11185.28,49576.0,4.4323,OAE,2564/65
,ตาก,Tak,THA,2021,93413.12,93237.28,413766.0,4.4378,OAE,2564/65
,นครราชสีมา,Nakhon Ratchasima,THA,2021,105715.68,98146.72,485750.0,4.9492,OAE,2564/65
,นครสวรรค์,Nakhon Sawan,THA,2021,57136.32,55554.4,275748.0,4.9636,OAE,2564/65
,น่าน,Nan,THA,2021,91428.0,91275.52,388937.0,4.2611,OAE,2564/65
,บุรีรัมย์,Buri Ram,THA,2021,224.48,224.0,1012.0,4.5179,OAE,2564/65
,ประจวบคีรีขันธ์,Prachuap Khiri Khan,THA,2021,86.72,86.72,358.0,4.1282,OAE,2564/65
,ปราจีนบุรี,Prachin Buri,THA,2021,4164.8,4044.0,19454.0,4.8106,OAE,2564/65
,พะเยา,Phayao,THA,2021,24863.68,24835.68,112667.0,4.5365,OAE,2564/65
,พิจิตร,Phichit,THA,2021,8647.52,8581.76,38091.0,4.4386,OAE,2564/65
,พิษณุโลก,Phitsanulok,THA,2021,40626.56,40505.6,170720.0,4.2147,OAE,2564/65
,ยโสธร,Yasothon,THA,2021,6.4,2.08,4.16,2.0,OAE,2564/65
,ราชบุรี,Ratchaburi,THA,2021,184.96,178.72,613.0,3.4299,OAE,2564/65
,ลพบุรี,Lop Buri,THA,2021,63455.36,62186.56,285124.0,4.585,OAE,2564/65
,ลำปาง,Lampang,THA,2021,44376.48,44318.72,198401.0,4.4767,OAE,2564/65
,ลำพูน,Lamphun,THA,2021,13709.28,13709.28,62059.0,4.5268,OAE,2564/65
,ศรีสะเกษ,Si Sa Ket,THA,2021,4688.32,4688.32,25717.0,5.4853,OAE,2564/65
,สระบุรี,Saraburi,THA,2021,27883.52,26230.24,119550.0,4.5577,OAE,2564/65
,สระแก้ว,Sa Kaeo,THA,2021,20337.76,18944.96,90740.0,4.7897,OAE,2564/65
,สุพรรณบุรี,Suphan Buri,THA,2021,9900.48,9787.68,42181.0,4.3096,OAE,2564/65
,สุรินทร์,Surin,THA,2021,27.36,25.76,68.0,2.6398,OAE,2564/65
,สุโขทัย,Sukhothai,THA,2021,14314.56,14038.4,60820.0,4.3324,OAE,2564/65
,หนองบัวลำภู,Nong Bua Lam Phu,THA,2021,3849.44,3810.4,15297.0,4.0145,OAE,2564/65
,อำนาจเจริญ,Amnat Charoen,THA,2021,20.96,20.96,79.0,3.7691,OAE,2564/65
,อุดรธานี,Udon Thani,THA,2021,384.16,382.88,1633.0,4.265,OAE,2564/65
,อุตรดิตถ์,Uttaradit,THA,2021,28831.68,28823.84,123259.0,4.2763,OAE,2564/65
,อุทัยธานี,Uthai Thani,THA,2021,20018.4,18750.56,100222.0,5.345,OAE,2564/65
,อุบลราชธานี,Ubon Ratchathani,THA,2021,11179.36,11179.36,57038.0,5.1021,OAE,2564/65
,เชียงราย,Chiang Rai,THA,2021,42999.52,42292.48,187202.0,4.4264,OAE,2564/65
,เชียงใหม่,Chiang Mai,THA,2021,45775.52,45756.16,212590.0,4.6462,OAE,2564/65
,เพชรบุรี,Phetchaburi,THA,2021,769.28,758.72,2728.0,3.5955,OAE,2564/65
,เพชรบูรณ์,Phetchabun,THA,2021,130094.56,122357.76,555152.0,4.5371,OAE,2564/65
,เลย,Loei,THA,2021,58740.0,58519.36,242995.0,4.1524,OAE,2564/65
,แพร่,Phrae,THA,2021,43372.64,43277.28,188597.0,4.3579,OAE,2564/65
,แม่ฮ่องสอน,Mae Hong Son,THA,2021,26920.96,26904.96,127757.0,4.7485,OAE,2564/65
,กาญจนบุรี,Kanchanaburi,THA,2022,13085.76,13031.52,60495.0,4.6422,OAE,2565/66
,กาฬสินธุ์,Kalasin,THA,2022,108.32,108.32,334.0,3.0835,OAE,2565/66
,กำแพงเพชร,Kamphaeng Phet,THA,2022,17947.68,17936.8,91462.0,5.0991,OAE,2565/66
,ขอนแก่น,Khon Kaen,THA,2022,1001.6,976.0,4269.0,4.374,OAE,2565/66
,จันทบุรี,Chanthaburi,THA,2022,1544.16,1531.04,6658.0,4.3487,OAE,2565/66
,ฉะเชิงเทรา,Chachoengsao,THA,2022,576.16,568.96,2458.0,4.3202,OAE,2565/66
,ชัยนาท,Chai Nat,THA,2022,2598.4,2574.24,11359.0,4.4126,OAE,2565/66
,ชัยภูมิ,Chaiyaphum,THA,2022,11256.48,11196.16,51762.0,4.6232,OAE,2565/66
,ตาก,Tak,THA,2022,91561.6,91131.52,401661.0,4.4075,OAE,2565/66
,นครนายก,Nakhon Nayok,THA,2022,42.88,42.88,239.0,5.5737,OAE,2565/66
,นครราชสีมา,Nakhon Ratchasima,THA,2022,103907.84,96784.96,484167.0,5.0025,OAE,2565/66
,นครสวรรค์,Nakhon Sawan,THA,2022,49601.28,47475.36,257648.0,5.427,OAE,2565/66
,น่าน,Nan,THA,2022,80756.48,80412.96,345453.0,4.296,OAE,2565/66
,บุรีรัมย์,Buri Ram,THA,2022,389.6,389.6,1852.0,4.7536,OAE,2565/66
,ประจวบคีรีขันธ์,Prachuap Khiri Khan,THA,2022,90.56,90.56,376.0,4.1519,OAE,2565/66
,ปราจีนบุรี,Prachin Buri,THA,2022,4526.88,4507.36,22194.0,4.9239,OAE,2565/66
,พะเยา,Phayao,THA,2022,24421.28,24385.92,109521.0,4.4912,OAE,2565/66
,พิจิตร,Phichit,THA,2022,7816.8,7749.6,36161.0,4.6662,OAE,2565/66
,พิษณุโลก,Phitsanulok,THA,2022,37615.2,37266.08,166428.0,4.4659,OAE,2565/66
,ราชบุรี,Ratchaburi,THA,2022,165.76,162.24,597.0,3.6797,OAE,2565/66
,ลพบุรี,Lop Buri,THA,2022,61912.0,61011.84,290388.0,4.7595,OAE,2565/66
,ลำปาง,Lampang,THA,2022,43947.84,43719.36,199271.0,4.558,OAE,2565/66
,ลำพูน,Lamphun,THA,2022,12092.96,12056.0,55057.0,4.5668,OAE,2565/66
,ศรีสะเกษ,Si Sa Ket,THA,2022,5146.24,5118.24,28015.0,5.4736,OAE,2565/66
,สระบุรี,Saraburi,THA,2022,28315.84,27618.56,129277.0,4.6808,OAE,2565/66
,สระแก้ว,Sa Kaeo,THA,2022,22294.72,20839.52,98907.0,4.7461,OAE,2565/66
,สุพรรณบุรี,Suphan Buri,THA,2022,6729.28,6727.52,29760.0,4.4236,OAE,2565/66
