country_key,iso3,region_name,year,yield_ton_ha,production_ton,country,region_id,data_source,level
vietnam,VNM,Vietnam,2003,3.4363003,3136300.0,VNM,VNM,OWID_FAOSTAT,national
vietnam,VNM,Vietnam,2004,3.4617002,3430900.0,VNM,VNM,OWID_FAOSTAT,national
vietnam,VNM,Vietnam,2005,3.5979002,3787100.0,VNM,VNM,OWID_FAOSTAT,national
vietnam,VNM,Vietnam,2006,3.7310002,3854500.0,VNM,VNM,OWID_FAOSTAT,national
vietnam,VNM,Vietnam,2007,3.9259,4303200.0,VNM,VNM,OWID_FAOSTAT,national
vietnam,VNM,Vietnam,2008,3.1753001,4573100.0,VNM,VNM,OWID_FAOSTAT,national
vietnam,VNM,Vietnam,2009,4.0137,4371700.0,VNM,VNM,OWID_FAOSTAT,national
vietnam,VNM,Vietnam,2010,4.0899,4606800.0,VNM,VNM,OWID_FAOSTAT,national
vietnam,VNM,Vietnam,2011,4.3128,4835717.0,VNM,VNM,OWID_FAOSTAT,national
vietnam,VNM,Vietnam,2012,4.3019,4973482.0,VNM,VNM,OWID_FAOSTAT,national
vietnam,VNM,Vietnam,2013,4.4354,5190895.5,VNM,VNM,OWID_FAOSTAT,national
vietnam,VNM,Vietnam,2014,4.414,5202511.0,VNM,VNM,OWID_FAOSTAT,national
vietnam,VNM,Vietnam,2015,4.5394,5287261.0,VNM,VNM,OWID_FAOSTAT,national
vietnam,VNM,Vietnam,2016,4.5529003,5244140.5,VNM,VNM,OWID_FAOSTAT,national
vietnam,VNM,Vietnam,2017,4.6483,5109765.5,VNM,VNM,OWID_FAOSTAT,national
vietnam,VNM,Vietnam,2018,4.7202005,4874054.0,VNM,VNM,OWID_FAOSTAT,national
vietnam,VNM,Vietnam,2019,4.8034,4732148.5,VNM,VNM,OWID_FAOSTAT,national
vietnam,VNM,Vietnam,2020,4.8513002,4558107.0,VNM,VNM,OWID_FAOSTAT,national
vietnam,VNM,Vietnam,2021,4.9367003,4446383.0,VNM,VNM,OWID_FAOSTAT,national
vietnam,VNM,Vietnam,2022,4.9957004,4423352.5,VNM,VNM,OWID_FAOSTAT,national
vietnam,VNM,Vietnam,2023,5.0411005,4437218.5,VNM,VNM,OWID_FAOSTAT,national
