region_name,year,country,planted_ha,harvested_ha,production_ton,yield_ton_ha,data_source
An Giang,1995,VNM,8800.0,8800.0,57800.0,6.5682,GSO
Ba Ria - Vung Tau,1995,VNM,14300.0,14300.0,32700.0,2.2867,GSO
Bac Giang,1995,VNM,7800.0,7800.0,13900.0,1.7821,GSO
Bac Kan,1995,VNM,3300.0,3300.0,5100.0,1.5455,GSO
Bac Lieu,1995,VNM,200.0,200.0,400.0,2.0,GSO
Bac Ninh,1995,VNM,3900.0,3900.0,7300.0,1.8718,GSO
Ben Tre,1995,VNM,1200.0,1200.0,3100.0,2.5833,GSO
Binh Dinh,1995,VNM,1000.0,1000.0,3100.0,3.1,GSO
Binh Duong,1995,VNM,600.0,600.0,500.0,0.8333,GSO
Binh Phuoc,1995,VNM,3100.0,3100.0,2700.0,0.871,GSO
Binh Thuan,1995,VNM,6900.0,6900.0,17500.0,2.5362,GSO
Ca Mau,1995,VNM,200.0,200.0,600.0,3.0,GSO
Can Tho,1995,VNM,1000.0,1000.0,3400.0,3.4,GSO
Cao Bang,1995,VNM,32500.0,32500.0,55300.0,1.7015,GSO
Da Nang,1995,VNM,100.0,100.0,300.0,3.0,GSO
Dak Lak,1995,VNM,19500.0,19500.0,50600.0,2.5949,GSO
Dong Nai,1995,VNM,62000.0,62000.0,182600.0,2.9452,GSO
Dong Thap,1995,VNM,2200.0,2200.0,7900.0,3.5909,GSO
Gia Lai,1995,VNM,14400.0,14400.0,14600.0,1.0139,GSO
Ha Giang,1995,VNM,37800.0,37800.0,45400.0,1.2011,GSO
Ha Nam,1995,VNM,5800.0,5800.0,13500.0,2.3276,GSO
Ha Noi,1995,VNM,27200.0,27200.0,73100.0,2.6875,GSO
Ha Tinh,1995,VNM,2800.0,2800.0,6600.0,2.3571,GSO
Hai Duong,1995,VNM,10700.0,10700.0,32100.0,3.0,GSO
Hai Phong,1995,VNM,500.0,500.0,1000.0,2.0,GSO
Ho Chi Minh City,1995,VNM,700.0,700.0,1300.0,1.8571,GSO
Hoa Binh,1995,VNM,14700.0,14700.0,20600.0,1.4014,GSO
Hung Yen,1995,VNM,10500.0,10500.0,26900.0,2.5619,GSO
Khanh Hoa,1995,VNM,5200.0,5200.0,6800.0,1.3077,GSO
Kon Tum,1995,VNM,2700.0,2700.0,4800.0,1.7778,GSO
Lai Chau,1995,VNM,27200.0,27200.0,30100.0,1.1066,GSO
Lam Dong,1995,VNM,12100.0,12100.0,42900.0,3.5455,GSO
Lang Son,1995,VNM,10400.0,10400.0,21600.0,2.0769,GSO
Lao Cai,1995,VNM,19300.0,19300.0,27700.0,1.4352,GSO
Long An,1995,VNM,100.0,100.0,400.0,4.0,GSO
Nam Dinh,1995,VNM,6900.0,6900.0,20000.0,2.8986,GSO
Nghe An,1995,VNM,24700.0,24700.0,32800.0,1.3279,GSO
Ninh Binh,1995,VNM,5200.0,5200.0,10100.0,1.9423,GSO
Ninh Thuan,1995,VNM,6800.0,6800.0,6700.0,0.9853,GSO
Phu Tho,1995,VNM,9600.0,9600.0,23900.0,2.4896,GSO
Phu Yen,1995,VNM,2900.0,2900.0,1500.0,0.5172,GSO
Quang Binh,1995,VNM,2700.0,2700.0,4700.0,1.7407,GSO
Quang Nam,1995,VNM,5700.0,5700.0,11100.0,1.9474,GSO
Quang Ngai,1995,VNM,4500.0,4500.0,8500.0,1.8889,GSO
Quang Ninh,1995,VNM,2800.0,2800.0,6000.0,2.1429,GSO
Quang Tri,1995,VNM,1600.0,1600.0,1600.0,1.0,GSO
Soc Trang,1995,VNM,2400.0,2400.0,4800.0,2.0,GSO
Son La,1995,VNM,25200.0,25200.0,45600.0,1.8095,GSO
Tay Ninh,1995,VNM,600.0,600.0,1100.0,1.8333,GSO
Thai Binh,1995,VNM,8500.0,8500.0,26900.0,3.1647,GSO
Thai Nguyen,1995,VNM,5200.0,5200.0,10100.0,1.9423,GSO
Thanh Hoa,1995,VNM,31500.0,31500.0,68200.0,2.1651,GSO
Thua Thien-Hue,1995,VNM,700.0,700.0,1100.0,1.5714,GSO
Tien Giang,1995,VNM,1700.0,1700.0,3200.0,1.8824,GSO
Tra Vinh,1995,VNM,1700.0,1700.0,1400.0,0.8235,GSO
Tuyen Quang,1995,VNM,12200.0,12200.0,24800.0,2.0328,GSO
