38 Provinsi,"Luas Panen, Produksi, dan Produktivitas Jagung Menurut Provinsi",,,,,,,,,,,,,,
,Luas Panen (ha),,,,,Produktivitas (ku/ha),,,,,Produksi (ton),,,,
,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024
ACEH,11581.2,10289.99,12453.57,11728.37,10090.26,55.22,56.21,58.01,56.58,51.78,63950.8,57835.8,72241.64,66363.62,52249.4
SUMATERA UTARA,135334.39,153631.83,207756.79,211105.36,210586.1,57.87,62.29,62.93,63.63,65.24,783126.62,956938.92,1307477.02,1343290.59,1373900
SUMATERA BARAT,65756.37,67159.49,84565.06,79630.77,83918.48,64.64,65.19,67.34,62.19,61.76,425025.38,437814.33,569450.41,495223.45,518315.8
RIAU,138.92,306.22,217.27,216.35,327.17,34.03,32.32,34.64,31.83,34.83,472.78,989.61,752.62,688.71,1139.41
JAMBI,1111,1665.97,1892.18,781.46,1514.03,68.45,58.34,55.37,60.46,69.56,7604.47,9719.01,10477.45,4724.77,10530.87
SUMATERA SELATAN,35073.88,51690.6,60187.49,46247.92,53171.15,60.37,61.23,76.48,61.55,63.76,211735.52,316505.64,460321.16,284643.31,338998.6
BENGKULU,4145.68,5983.25,10416.56,7900.85,9861.27,56.48,61.73,68.89,63.82,63.76,23415.58,36934.89,71755.99,50421.07,62876.83
LAMPUNG,156654.98,172107.96,223859.75,166215.32,170016.6,62.04,65.6,64.46,66.4,65.15,971957.39,1129111.67,1443095.58,1103640.11,1107739
KEP. BANGKA BELITUNG,28.73,97.31,62.8,23.25,0,44.09,35.85,41.08,47.87,57.16,126.66,348.85,257.95,111.3,0
KEP. RIAU,2.75,2.62,2.45,2.07,2.49,55.4,48.95,51.31,50.48,48.19,15.22,12.84,12.59,10.45,12
DKI JAKARTA,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-
JAWA BARAT,59430.55,68213.91,95689.92,76901.39,77992.51,70.4,72.06,75.98,75.06,72.35,418401.74,491527.65,727067.64,577185.49,564290.8
