util_practice_desc,region_desc,domaincat_desc,statisticcat_desc,CV (%),state_fips_code,commodity_desc,source_desc,begin_code,load_time,county_ansi,state_ansi,domain_desc,week_ending,asd_desc,class_desc,country_name,county_code,reference_period_desc,end_code,prodn_practice_desc,congr_district_code,zip_5,country_code,asd_code,state_name,freq_desc,agg_level_desc,watershed_desc,Value,short_desc,watershed_code,year,sector_desc,location_desc,county_name,state_alpha,group_desc,unit_desc
GRAIN,,NOT SPECIFIED,YIELD,,01,CORN,SURVEY,00,2024-02-23 15:00:00.000,,01,TOTAL,,NORTHERN VALLEY,ALL CLASSES,UNITED STATES,998,YEAR,00,ALL PRODUCTION PRACTICES,,,9000,10,ALABAMA,ANNUAL,COUNTY,,129.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,2019,CROPS,"ALABAMA, NORTHERN VALLEY, OTHER (COMBINED) COUNTIES",OTHER (COMBINED) COUNTIES,AL,FIELD CROPS,BU / ACRE
GRAIN,,NOT SPECIFIED,YIELD,,01,CORN,SURVEY,00,2024-02-23 15:00:00.000,,01,TOTAL,,NORTHERN VALLEY,ALL CLASSES,UNITED STATES,998,YEAR,00,ALL PRODUCTION PRACTICES,,,9000,10,ALABAMA,ANNUAL,COUNTY,,146.4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,2018,CROPS,"ALABAMA, NORTHERN VALLEY, OTHER (COMBINED) COUNTIES",OTHER (COMBINED) COUNTIES,AL,FIELD CROPS,BU / ACRE
GRAIN,,NOT SPECIFIED,YIELD,,01,CORN,SURVEY,00,2018-02-22 15:08:35.000,,01,TOTAL,,NORTHERN VALLEY,ALL CLASSES,UNITED STATES,998,YEAR,00,ALL PRODUCTION PRACTICES,,,9000,10,ALABAMA,ANNUAL,COUNTY,,169.3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,2017,CROPS,"ALABAMA, NORTHERN VALLEY, OTHER (COMBINED) COUNTIES",OTHER (COMBINED) COUNTIES,AL,FIELD CROPS,BU / ACRE
GRAIN,,NOT SPECIFIED,YIELD,,01,CORN,SURVEY,00,2017-02-23 15:00:08.000,,01,TOTAL,,NORTHERN VALLEY,ALL CLASSES,UNITED STATES,998,YEAR,00,ALL PRODUCTION PRACTICES,,,9000,10,ALABAMA,ANNUAL,COUNTY,,103.8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,2016,CROPS,"ALABAMA, NORTHERN VALLEY, OTHER (COMBINED) COUNTIES",OTHER (COMBINED) COUNTIES,AL,FIELD CROPS,BU / ACRE
GRAIN,,NOT SPECIFIED,YIELD,,01,CORN,SURVEY,00,2016-02-18 15:04:50.000,,01,TOTAL,,NORTHERN VALLEY,ALL CLASSES,UNITED STATES,998,YEAR,00,ALL PRODUCTION PRACTICES,,,9000,10,ALABAMA,ANNUAL,COUNTY,,135.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,2015,CROPS,"ALABAMA, NORTHERN VALLEY, OTHER (COMBINED) COUNTIES",OTHER (COMBINED) COUNTIES,AL,FIELD CROPS,BU / ACRE
GRAIN,,NOT SPECIFIED,YIELD,,01,CORN,SURVEY,00,2015-02-19 15:38:52.000,,01,TOTAL,,NORTHERN VALLEY,ALL CLASSES,UNITED STATES,998,YEAR,00,ALL PRODUCTION PRACTICES,,,9000,10,ALABAMA,ANNUAL,COUNTY,,162.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,2014,CROPS,"ALABAMA, NORTHERN VALLEY, OTHER (COMBINED) COUNTIES",OTHER (COMBINED) COUNTIES,AL,FIELD CROPS,BU / ACRE
GRAIN,,NOT SPECIFIED,YIELD,,01,CORN,SURVEY,00,2015-02-19 15:38:52.000,,01,TOTAL,,NORTHERN VALLEY,ALL CLASSES,UNITED STATES,998,YEAR,00,ALL PRODUCTION PRACTICES,,,9000,10,ALABAMA,ANNUAL,COUNTY,,130.9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,2013,CROPS,"ALABAMA, NORTHERN VALLEY, OTHER (COMBINED) COUNTIES",OTHER (COMBINED) COUNTIES,AL,FIELD CROPS,BU / ACRE
GRAIN,,NOT SPECIFIED,YIELD,,01,CORN,SURVEY,00,2015-06-03 15:08:31.000,,01,TOTAL,,NORTHERN VALLEY,ALL CLASSES,UNITED STATES,998,YEAR,00,ALL PRODUCTION PRACTICES,,,9000,10,ALABAMA,ANNUAL,COUNTY,,109.5,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,2012,CROPS,"ALABAMA, NORTHERN VALLEY, OTHER (COMBINED) COUNTIES",OTHER (COMBINED) COUNTIES,AL,FIELD CROPS,BU / ACRE
GRAIN,,NOT SPECIFIED,YIELD,,01,CORN,SURVEY,00,2015-06-03 15:08:31.000,,01,TOTAL,,NORTHERN VALLEY,ALL CLASSES,UNITED STATES,998,YEAR,00,ALL PRODUCTION PRACTICES,,,9000,10,ALABAMA,ANNUAL,COUNTY,,105.9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,2011,CROPS,"ALABAMA, NORTHERN VALLEY, OTHER (COMBINED) COUNTIES",OTHER (COMBINED) COUNTIES,AL,FIELD CROPS,BU / ACRE
GRAIN,,NOT SPECIFIED,YIELD,,01,CORN,SURVEY,00,2015-06-03 15:08:31.000,,01,TOTAL,,NORTHERN VALLEY,ALL CLASSES,UNITED STATES,998,YEAR,00,ALL PRODUCTION PRACTICES,,,9000,10,ALABAMA,ANNUAL,COUNTY,,103.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,2010,CROPS,"ALABAMA, NORTHERN VALLEY, OTHER (COMBINED) COUNTIES",OTHER (COMBINED) COUNTIES,AL,FIELD CROPS,BU / ACRE
