country_key,iso3,region_name,year,yield_ton_ha,production_ton,country,region_id,data_source,level
usa,USA,United States,2003,8.924833,256229020.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2004,10.060836,299875600.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2005,9.282579,282262560.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2006,9.357895,267502850.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2007,9.458315,331177280.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2008,9.621497,305911460.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2009,10.318161,331921060.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2010,9.577564,315617920.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2011,9.213541,312788900.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2012,7.7260685,273192400.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2013,9.922758,351271870.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2014,10.732394,361091140.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2015,10.569211,345486340.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2016,10.95834,412262180.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2017,11.083865,371096030.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2018,11.071312,364262140.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2019,10.512726,345962100.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2020,10.757499,358447300.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2021,11.09014,381469380.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2022,10.883024,346739460.0,USA,USA,OWID_FAOSTAT,national
usa,USA,United States,2023,11.127799,389694460.0,USA,USA,OWID_FAOSTAT,national
