country,year,task_id,status
IDN,2020,CBI5UL3W5EAWGYY4XVXNOTQP,SUBMITTED
IDN,2021,XMLH2RPNM6YT47JXY7GBZU7S,SUBMITTED
IDN,2022,HLXDQXPBHW6KQ626EDO55NB4,SUBMITTED
IDN,2023,3GZJZUFOES7XNQBJVF4IWJF2,SUBMITTED
IDN,2024,QAUIC4KIC7E73EH35A7BHOE5,SUBMITTED
VNM,2003,3CLFH2UCQQQMCLVS2FGTGRJZ,SUBMITTED
VNM,2004,3V5BK3675KX2MESWPZKOMP4I,SUBMITTED
VNM,2005,NAI7U7ONFKIZMKMFZKM6ZUSC,SUBMITTED
VNM,2006,FF2NA7GR3LSNY2C75YLIF5DW,SUBMITTED
VNM,2007,FY2SCH2BUJBTNHIR5WDZK56Q,SUBMITTED
VNM,2008,QLIWR4MQJUSDALDAZK4LFJEF,SUBMITTED
VNM,2009,GYR2EBTZXCBZRWFJI3SZP5JF,SUBMITTED
VNM,2010,TCC53PZ25NKDVOWYGID6DYZ4,SUBMITTED
VNM,2011,IQXBQDD2GMUXZT4JFX6WGO6K,SUBMITTED
VNM,2012,GLOVET7ANJP3OGB6L4BGLC2V,SUBMITTED
VNM,2013,BDL3MJZ4AEEYGCAADKGDNSV5,SUBMITTED
VNM,2014,IHU7EB42DZJ7KS43AOWEWATC,SUBMITTED
VNM,2015,XRRXHOKKNNIHDTGMBGFDCRBR,SUBMITTED
VNM,2016,3UDU2GF4PHFR4BBD65RXKJSV,SUBMITTED
VNM,2017,HJ6B3J4MPQDZXZQ65YSYVY3S,SUBMITTED
VNM,2018,5FGXOKBKAWE6FP6XQGY4YHXQ,SUBMITTED
VNM,2019,SWORBNRGBNDSD4XMVSH6RSTZ,SUBMITTED
VNM,2020,QGBVXYMASDNSPCTFPQTHCSEA,SUBMITTED
VNM,2021,74UXO3IUNFAAMK72OPYLFA6S,SUBMITTED
VNM,2022,DUS2K36HBISLPFSD5PH2DCCP,SUBMITTED
VNM,2023,K3SS6WSLFHFQN3VRJGWCNVSR,SUBMITTED
THA,2021,ZXBIIE6WUNYA3MXPCFMVJSR6,SUBMITTED
THA,2022,WR3VPU3GCCLJ7GB5A3YFGDZU,SUBMITTED
THA,2023,W5WX2555EJXWLZK7DYJGXFGK,SUBMITTED
