country,year,task_id,status
IDN,2020,KKD3SKSX5RHSVSXWUYQ3WEJH,SUBMITTED
IDN,2021,JWQ2OTCOPFZJQHC4S4GDGB7N,SUBMITTED
IDN,2022,43LEF7GFG4ZUNQ7HPPOPQ52V,SUBMITTED
IDN,2023,TSW3ZE4VOKVSD37VXM3QUDHM,SUBMITTED
IDN,2024,YRFAUG35Z3TLCF2PFRZHIF3G,SUBMITTED
VNM,2003,3QMOHQVM3OO3HPTERCDW3NYJ,SUBMITTED
VNM,2004,TGPEFMOGY5OPYYTENDLLPJJH,SUBMITTED
VNM,2005,DHYRNRUT2S7O3FHEYNSYBJ3F,SUBMITTED
VNM,2006,XIHRA3Q37TD6VAMOVR43BHAJ,SUBMITTED
VNM,2007,J3RKHMKEQQL4E2OCST537OFU,SUBMITTED
VNM,2008,DW5MD5MPLMLTVRC2SBKMK3LT,SUBMITTED
VNM,2009,3VKOOEGAZLMOEW33T7NUBWDW,SUBMITTED
VNM,2010,KF57LSLPBFS6JJMCKBCC4UGX,SUBMITTED
VNM,2011,VRXEYYP5H54IMLW7LTPMBGQG,SUBMITTED
VNM,2012,PRTRKYRM37IOMDALASMCOXCO,SUBMITTED
VNM,2013,ZW6UAMCXUZWBTVCH7SKZJESW,SUBMITTED
VNM,2014,UCCQYKDXC3SHC3BXCVSWTFD3,SUBMITTED
VNM,2015,VBESHCJAJJ6GHGELT2FUDEA7,SUBMITTED
VNM,2016,I4D6P7TLW57KQKV6TK4LQ36W,SUBMITTED
VNM,2017,KOPM67OHORQIQYVD3I7BKHSL,SUBMITTED
VNM,2018,3KJJC4ZEB4D4XVHN3QH3R6XG,SUBMITTED
VNM,2019,3JBO4WRJA37RV3RS7LTFTVQ6,SUBMITTED
VNM,2020,TOQGCZERKEUGOKW6NRINGOZE,SUBMITTED
VNM,2021,AUFWHJKS26KEG7YSNFH2VKO6,SUBMITTED
VNM,2022,SMFTZ5PYOCURDO6U37PBIPLT,SUBMITTED
VNM,2023,NOHI3EHAWYSXGHHAN36LQE4V,SUBMITTED
THA,2021,BKTIVKH66DFAAZZWOCRSWQDU,SUBMITTED
THA,2022,ZGQYGD537CZNNE5ONAJFDE7K,SUBMITTED
THA,2023,OGK7ZUVTNOTX53WYEL4OWCQS,SUBMITTED
