year,task_id,status
2003,7XHD5GZXRBHLPOVVFTJUU65M,SUBMITTED
2004,QQAH5ZVFCOZN26MDBC2V4Q3V,SUBMITTED
2005,BQUS3O7QYD2JXL4EGUTUXLTT,SUBMITTED
2006,ADBZLG4VMN54TILFHKD7EE22,SUBMITTED
2007,NHIRMJJM6TGHDFAP5R3OWZHK,SUBMITTED
2008,V4J2BBYKPM2O24WDCJNK4C4X,SUBMITTED
2009,HZCPTSKLLTSSGSRRDVB2PLYO,SUBMITTED
2010,OHXDNXE4TUJK6PG5OABFU2FU,SUBMITTED
2011,Q5BTMJ2LUE4G6UBY4CANULKI,SUBMITTED
2012,D5FXJGLUXADRXBDVEQ27Y3AE,SUBMITTED
2013,IL5J7YUS2ZQM2NOUOHYVUENF,SUBMITTED
2014,MI3K5GQHLVGDUI5BPR3EF2G5,SUBMITTED
2015,HQSUJVA62GTPUXUYOP3ZWN62,SUBMITTED
2016,B2E7IJ5VWI7P4XHW2J7Z7XUI,SUBMITTED
2017,MI7ZHQRUYVNQ3UT5GADJHHRL,SUBMITTED
2018,SICJETASDHKZGGUFVQL7SDCK,SUBMITTED
2019,DSXWO7J3BM7XJBDWBS66BFON,SUBMITTED
2020,D55TDXS3DKFXJGXDKDKPSR4W,SUBMITTED
2021,AUT54LLH2TITMFVOD5YLGIH4,SUBMITTED
2022,QS6EBZTKQAFXRUEU4LMJTQZM,SUBMITTED
2023,TE3WNFEUAIRMG7GMDI7F2G3C,SUBMITTED
