year,task_id,status
2003,TORAYDPHEYEKFVBUQKTSOSEP,SUBMITTED
2004,YS3BEPD6LJYPVY7LHGNXN7Y6,SUBMITTED
2005,AOJ3HVFLIHWZB5QDBPAQNTI3,SUBMITTED
2006,C6M5W7CQTGZQJRDEQZO2MZ6S,SUBMITTED
2007,BMHGGIBW7GA23A64BARUJRJR,SUBMITTED
2008,QB6G3OLLHRXOPE7J7TPCWZ4R,SUBMITTED
2009,6PICJQK26OHPKS5MHFBU4FJU,SUBMITTED
2010,7YIZVUNRWRXRY66R3OKUPJ5X,SUBMITTED
2011,L2Q6DOUFAWJB7AD2CO5ZK5NT,SUBMITTED
2012,HOLF5ACCGEDAF4MV5BAUKWUO,SUBMITTED
2013,YWF46JTLYTZ3EY3HRNTLR3G4,SUBMITTED
2014,PST5RYM557CRWQR2WEEHEZIL,SUBMITTED
2015,HQ6AP5WOIMCMXF7PVYVYFJZX,SUBMITTED
2016,3PAFH56YZUJN3UUMFJKI4HS6,SUBMITTED
2017,ANRBZSSDJEU2UH6J7OV34ULU,SUBMITTED
2018,KEJUPHTZLY73LSNFNXV5BFAU,SUBMITTED
2019,VX3Y2SMWGU4MBV6LFBGG3IMO,SUBMITTED
2020,6XBS2DXFYGYAAHXQQV46JD6S,SUBMITTED
2021,VXVGRMZMV4XKZWD6IQJC3MNH,SUBMITTED
2022,KWZNTMZZRAPFSQ6OXZ65DEOD,SUBMITTED
2023,NYPXERPK6AHEN7WVAYB7G2K5,SUBMITTED
